20170714181449.wav,Unknown,'t',NotAccepted,'13.8871's
20170714181505.wav,Unknown,'t',NotAccepted,'9.38844's
20170714181517.wav,Unknown,'s',NotAccepted,'9.71479's
20170714181529.wav,Unknown,'e',NotAccepted,'9.54858's
20170714181541.wav,Unknown,'',NotAccepted,'10.16331's
20170714181553.wav,Unknown,'y',NotAccepted,'10.59707's
20170714181606.wav,Unknown,'h',NotAccepted,'9.62719's
20170714181618.wav,Unknown,'u',NotAccepted,'12.21679's
20170714181633.wav,Unknown,'x',NotAccepted,'9.36894's
20170714181645.wav,Unknown,'k',NotAccepted,'10.99836's
20170714181658.wav,Unknown,'k',NotAccepted,'10.13832's
20170714181711.wav,Unknown,'c',NotAccepted,'12.07744's
20170714181725.wav,Unknown,'h',NotAccepted,'11.0696's
20170714181738.wav,Unknown,'v',NotAccepted,'11.66275's
20170714181752.wav,Unknown,'h',NotAccepted,'10.15291's
20170714181805.wav,Unknown,'a',NotAccepted,'10.19026's
20170714181818.wav,Unknown,'h',NotAccepted,'10.09005's
20170714181830.wav,Unknown,'c',NotAccepted,'11.27633's
20170714181844.wav,Unknown,'t',NotAccepted,'9.05226's
20170714181855.wav,Unknown,'n',NotAccepted,'8.61533's
20170714181906.wav,Unknown,'x',NotAccepted,'9.82224's
20170714181918.wav,Unknown,'t',NotAccepted,'8.34441's
20170714181929.wav,Unknown,'t',NotAccepted,'8.37525's
20170714181940.wav,Unknown,'h',NotAccepted,'9.23263's
20170714181952.wav,Unknown,'e',NotAccepted,'8.67626's
20170714182003.wav,Unknown,'k',NotAccepted,'9.16441's
20170714182014.wav,Unknown,'h',NotAccepted,'10.62936's
20170714182027.wav,Unknown,'t',NotAccepted,'8.97162's
20170714182039.wav,Unknown,'x',NotAccepted,'12.32874's
20170714182053.wav,Unknown,'u',NotAccepted,'11.18432's
20170714182107.wav,Unknown,'r',NotAccepted,'11.73626's
20170714182121.wav,Unknown,'t',NotAccepted,'8.57583's
20170714182132.wav,Unknown,'w',NotAccepted,'9.29006's
20170714182143.wav,Unknown,'y',NotAccepted,'13.17953's
20170714182159.wav,Unknown,'h',NotAccepted,'10.59102's
20170714182212.wav,Unknown,'a',NotAccepted,'12.76848's
20170714182227.wav,Unknown,'t',NotAccepted,'11.22971's
20170714182241.wav,Unknown,'w',NotAccepted,'9.64521's
20170714182253.wav,Unknown,'w',NotAccepted,'8.92644's
20170714182304.wav,Unknown,'h',NotAccepted,'10.30283's
20170714182317.wav,Unknown,'s',NotAccepted,'9.0973's
20170714182328.wav,Unknown,'n',NotAccepted,'10.72054's
20170714182341.wav,Unknown,'b',NotAccepted,'10.21629's
20170714182354.wav,Unknown,'t',NotAccepted,'10.38998's
20170714182407.wav,Unknown,'r',NotAccepted,'8.46895's
20170714182417.wav,Unknown,'e',NotAccepted,'10.4032's
20170714182430.wav,Unknown,'k',NotAccepted,'9.15263's
20170714182442.wav,Unknown,'d',NotAccepted,'11.16901's
20170714182455.wav,Unknown,'v',NotAccepted,'9.48616's
20170714182507.wav,Unknown,'h',NotAccepted,'9.56366's
20170714182519.wav,Unknown,'w',NotAccepted,'10.5481's
20170714182532.wav,Unknown,'p',NotAccepted,'11.20725's
20170714182545.wav,Unknown,'n',NotAccepted,'11.10053's
20170714182559.wav,Unknown,'t',NotAccepted,'8.45304's
20170714182610.wav,Unknown,'s',NotAccepted,'9.80583's
20170714182622.wav,Unknown,'r',NotAccepted,'10.34682's
20170714182635.wav,Unknown,'h',NotAccepted,'8.81268's
20170714182646.wav,Unknown,'y',NotAccepted,'10.06138's
20170714182658.wav,Unknown,'o',NotAccepted,'10.7313's
20170714182711.wav,Unknown,'x',NotAccepted,'10.21952's
20170714182724.wav,Unknown,'t',NotAccepted,'9.37165's
20170714182735.wav,Unknown,'t',NotAccepted,'10.54951's
20170714182748.wav,Unknown,'k',NotAccepted,'10.29205's
20170714182801.wav,Unknown,'m',NotAccepted,'8.15644's
20170714182812.wav,Unknown,'v',NotAccepted,'11.13276's
20170714182825.wav,Unknown,'m',NotAccepted,'10.22741's
20170714182838.wav,Unknown,'n',NotAccepted,'13.68406's
20170714182854.wav,Unknown,'w',NotAccepted,'10.38714's
20170714182906.wav,Unknown,'s',NotAccepted,'8.69314's
20170714182917.wav,Unknown,'x',NotAccepted,'9.24135's
20170714182929.wav,Unknown,'e',NotAccepted,'9.25965's
20170714182941.wav,Unknown,'t',NotAccepted,'9.35565's
20170714182952.wav,Unknown,'a',NotAccepted,'8.72106's
20170714183003.wav,Unknown,'z',NotAccepted,'11.02534's
20170714183017.wav,Unknown,'u',NotAccepted,'8.33635's
20170714183027.wav,Unknown,'k',NotAccepted,'9.53966's
20170714183039.wav,Unknown,'o',NotAccepted,'9.67389's
20170714183051.wav,Unknown,'s',NotAccepted,'8.6274's
20170714183102.wav,Unknown,'r',NotAccepted,'11.08382's
20170714183116.wav,Unknown,'c',NotAccepted,'9.72829's
20170714183128.wav,Unknown,'r',NotAccepted,'10.21759's
20170714183140.wav,Unknown,'w',NotAccepted,'9.64396's
20170714183152.wav,Unknown,'r',NotAccepted,'11.39546's
20170714183206.wav,Unknown,'y',NotAccepted,'8.85853's
