20170722185921.wav,US,'tn2Sh',Accepted,'5.37276's
20170722185930.wav,US,'8w74S',Accepted,'5.28098's
20170722185938.wav,US,'39m8j',Accepted,'4.86902's
20170722185946.wav,US,'bcowv',Accepted,'5.82738's
20170722185956.wav,US,'xownp',Accepted,'5.73659's
20170722190006.wav,US,'hg6gh',Accepted,'4.60192's
20170722190014.wav,US,'5lytd',Accepted,'4.96442's
20170722190021.wav,US,'gbyat',Accepted,'5.16244's
20170722190029.wav,US,'1jpej',Accepted,'5.56269's
20170722190037.wav,US,'andye',Accepted,'5.03392's
20170722190045.wav,US,'m41gc',Accepted,'4.23412's
20170722190052.wav,US,'y8zyf',Accepted,'5.32039's
20170722190100.wav,US,'uur0p',Accepted,'5.38009's
20170722190109.wav,US,'41ujq',Accepted,'4.83031's
20170722190116.wav,US,'x0Sii',Accepted,'5.66362's
20170722190125.wav,US,'zu2ep',NotAccepted,'5.42822's
20170722190133.wav,US,'l57jw',Accepted,'5.20502's
20170722190141.wav,US,'t7jvc',Accepted,'5.0601's
20170722190149.wav,US,'vdbf0',Accepted,'5.28549's
20170722190157.wav,US,'nop19',Accepted,'5.01506's
20170722190204.wav,US,'loh0v',Accepted,'5.28527's
20170722190213.wav,US,'j203k',Accepted,'5.30912's
20170722190221.wav,US,'ehie8',Accepted,'5.14879's
20170722190229.wav,US,'5zi7n',Accepted,'4.86198's
20170722190238.wav,US,'nzq4l',Accepted,'4.99829's
20170722190246.wav,US,'u1y1n',Accepted,'4.65711's
20170722190253.wav,US,'hu70t',Accepted,'5.23783's
20170722190306.wav,US,'6S41o',Accepted,'4.63183's
20170722190314.wav,US,'nr6vn',Accepted,'5.32584's
20170722190322.wav,US,'g33f1',Accepted,'4.79251's
20170722190329.wav,US,'on5zg',Accepted,'5.51665's
20170722190337.wav,US,'lShf8',Accepted,'5.39408's
20170722190345.wav,US,'n5loq',Accepted,'5.32877's
20170722190354.wav,US,'e3xf4',Accepted,'5.18462's
20170722190401.wav,US,'xbkch',Accepted,'5.3235's
20170722190414.wav,US,'r1g54',Accepted,'4.96683's
20170722190421.wav,US,'glx5p',Accepted,'5.41841's
20170722190429.wav,US,'1b8bp',Accepted,'4.97873's
20170722190437.wav,US,'ukve5',Accepted,'5.06797's
20170722192053.wav,US,'m10pm',Accepted,'5.56038's
20170722192101.wav,US,'2oqf2',Accepted,'5.28941's
20170722192109.wav,US,'c2rky',Accepted,'5.22582's
20170722192117.wav,US,'kotq1',Accepted,'5.09658's
20170722192125.wav,US,'87vry',Accepted,'5.00139's
20170722192133.wav,US,'z5iv2',NotAccepted,'5.20054's
20170722192141.wav,US,'8dmrS',Accepted,'4.77295's
20170722192148.wav,US,'yqw3m',Accepted,'5.25607's
20170722192156.wav,US,'onnpo',Accepted,'5.736's
20170722192205.wav,US,'kSccr',Accepted,'5.34325's
20170722192213.wav,US,'mxmf2',Accepted,'5.32459's
20170722192222.wav,US,'uvg64',Accepted,'4.80107's
20170722192230.wav,US,'69u8l',Accepted,'4.36605's
20170722192237.wav,US,'73ww0',Accepted,'4.82683's
20170722192244.wav,US,'mgel3',Accepted,'4.89366's
20170722192252.wav,US,'htxap',Accepted,'5.68532's
20170722192301.wav,US,'97258',Accepted,'4.82246's
20170722192308.wav,US,'f12rr',Accepted,'5.0876's
